,ArtistName,YearBorn,YearDied,Age,Born,Died,ArtistOccupation,ArtistWikiLink,Nationality,Education,Known for,Spouse(s),Notable work,Awards,Movement,Native name,Resting place,Pen name,Occupation,Language,Period,Literary movement,Notable works,Notable awards,Spouse,Children,Relatives,Signature,Other names,Alma mater,Website,Parent(s),Style,Honours,Partner(s),Years active,Constituency,Political party,Citizenship,Organization,Patron(s),Genre,Age_Cleaned,Is_Dead,Is_Indian,Award_Group,Occupation_Grouped
58,Maya Burman,1971,,0,"1971Lot-et-Garonne, France",,,https://en.wikipedia.org/wiki/Maya_Burman,French,,,,,,Burman family,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Alive,Other/Mixed,Other,0
59,Mohammed Yusuf Khatri,1967,,0," (1967-01-01) 1 January 1967 (age 54)Bagh, Madhya Pradesh, India",, Bagh printer,https://en.wikipedia.org/wiki/Mohammed_Yusuf_Khatri,Indian,,"Bagh Print, hand block print, natural printing and dyeing[1][2]",Hasina Khatri,hand block printing on bamboo mat & leather,"National award handicrafts & handlooms 2003[3] International UNESCO Award of Excellence 2014,[4][5]",,,,,,,,,,,,Mohammed BilalMohammed KazeemRukhsarAbdul Karim,,,,,,,,,,,,,,,,,54,Alive,India,Other,"Bagh Print, hand block print, natural printing and dyeing[1][2]"
60,Mohan Samant,1924,2004,80,,,,https://en.wikipedia.org/wiki/Mohan_Samant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Dead,Other/Mixed,Other,0
61,Neeraj Gupta,1969,,0,1969Delhi,, sculpture artist,https://en.wikipedia.org/wiki/Neeraj_Gupta,India,,Sculpture Art,,,,,,,,Sculpture Artist,,,,,,,,,,,"School of Planning and Architecture, Delhi",,,,,,,,,,Delhi Art Society,,,52,Alive,Other/Mixed,Other,Sculpture Art
62,Nek Chand,1924,2015,91,"(1924-12-15)15 December 1924Barian Kalan, Shakargarh (pre-partition Gurdaspur district), British Indian Empire (now in Pakistan)","12 June 2015(2015-06-12) (aged 90)Chandigarh, India",,https://en.wikipedia.org/wiki/Nek_Chand,Indian,,"Architecture, sculpture",,The Rock Garden of Chandigarh,Padma Shri (1984),Outsider Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,Dead,India,Padma Recipient,"Architecture, sculpture"
63,Norman Douglas Hutchinson,1932,2010,78,,,,https://en.wikipedia.org/wiki/Norman_Douglas_Hutchinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,Dead,Other/Mixed,Other,0
64,Ananta Mandal,1983,,0, (1983-02-05) 5 February 1983 (age 38)Kolkata,, watercolorist,https://en.wikipedia.org/wiki/Ananta_Mandal,Indian,"Government College of Art & Craft, Kolkata","Painting, Drawing, Visual Arts",,,The Winsor & Newton Excellence Award,"Impressionism, Expressionism",,,,,,,,,,,,,,,,anantamandal.com,,,,,1983–present,,,,,,,38,Alive,India,Other,"Painting, Drawing, Visual Arts"
65,Paris Mohan Kumar,,,0,,,,https://en.wikipedia.org/wiki/Paris_Mohan_Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,Other/Mixed,Other,0
66,Paresh Maity,1965,,0,"1965 (age 55–56)Tamluk, Purba Medinipur, West Bengal, India",, painter and sculptor,https://en.wikipedia.org/wiki/Paresh_Maity,,,Painter Sculptor Photographer and Filmmaker,,,Padma Shri (2014),,,,,,,,,,,,,,,,,pareshmaity.in,,,,,,,,,,,,56,Alive,Other/Mixed,Padma Recipient,Painter Sculptor Photographer and Filmmaker
67,Piraji Sagara,1931,2014,83,,,,https://en.wikipedia.org/wiki/Piraji_Sagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,Dead,Other/Mixed,Other,0
68,Prafulla Dahanukar,1934,2014,80,"Prafulla Subrai Joshi(1934-01-01)1 January 1934Goa, Portuguese India","1 March 2014(2014-03-01) (aged 80)Mumbai, India", painter,https://en.wikipedia.org/wiki/Prafulla_Dahanukar,Indian,Sir J. J. School of Art,"Visual arts, Painting, drawing",Dilip Dahanukar,,"Sir J. J. School of Arts Gold Medalist 1955 , The Bombay Art Society Silver Medal in 1955",Progressive Arts Movement,,,,,,,,,,,2,,,,,,,,,,,,,,,,,80,Dead,India,Other,"Visual arts, Painting, drawing"
69,Pranava Prakash,1979,,0," (1979-02-10) 10 February 1979 (age 42)Patna, Bihar, India",,,https://en.wikipedia.org/wiki/Pranava_Prakash,Indian,"NMCH,Patna, Institute of Management Technology, Ghaziabad","pop art, installation art, painting",,"The Goddess of Fifteen Minutes of Fame, Your Turn, Chal Hat Be Bihari","Obra De Art Annual Medal,2009",Socio Pop Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Alive,India,Other,"pop art, installation art, painting"
70,Rabin Mondal,1929,2019,90,"Rabindra Nath Mondal1929Howrah, India","2 July 2019 (aged 90)Bidhannagar, West Bengal, India",,https://en.wikipedia.org/wiki/Rabin_Mondal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Dead,Other/Mixed,Other,0
71,Ram Chandra Shukla,1925,2016,91,"1925 (1925)Basti, United Provinces, British India","3 September 2016(2016-09-03) (aged 90–91)Allahabad, Uttar Pradesh, India",,https://en.wikipedia.org/wiki/Ram_Chandra_Shukla,Indian,,Painting,,,,,,,,,,,,,,,,,,,Allahabad University,ramchandrashukl.googlepages.com/home,,,,,,,,,,,,91,Dead,India,Other,Painting
72,Ramkinkar Baij,1906,1980,74,"(1906-05-25)25 May 1906Jugipara, Bankura Town, Bankura District, Bengal, British India (present-day West Bengal, India)[1]","2 August 1980(1980-08-02) (aged 74)IPGMER and SSKM Hospital, West Bengal, India", painter and sculptor,https://en.wikipedia.org/wiki/Ramkinkar_Baij,Indian,,"Sculptor, painter",,"Lady with Dog, Sujata, Santhaal Family, Mill Call, Yaksha-Yakshi (Jokkho-Jokkhi)",Padma Bhushan (1970),Contextual Modernism,,,,,,,,,,,,,,,,,,,,,,,,,,Ramananda Chatterjee,,74,Dead,India,Padma Recipient,"Sculptor, painter"
73,Ratnadeep Adivrekar,1974,,0, (1974-11-13) 13 November 1974 (age 46)[1]Mumbai[1],,,https://en.wikipedia.org/wiki/Ratnadeep_Adivrekar,Indian[1],Sir J. J. School of Art[1],Painting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Alive,Other/Mixed,Other,Painting
74,Ravi Mandlik,1960,,0, (1960-10-20) 20 October 1960 (age 60)Achalpur Maharashtra,, painter,https://en.wikipedia.org/wiki/Ravi_Mandlik,Indian,Sir J. J. School of Art,Abstract painting,,,,Abstract Expressionism,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Alive,India,Other,Abstract painting
75,Reena Saini Kallat,1973,,0,"1973New Delhi, India",,,https://en.wikipedia.org/wiki/Reena_Saini_Kallat,Indian,,"Visual arts, installation art, Contemporary Art",Jitish Kallat,,,,,,,,,,,,,,,,,,Sir Jamsetjee Jeejebhoy School of Art,www.reenakallat.com,,,,,,,,,,,,48,Alive,India,Other,"Visual arts, installation art, Contemporary Art"
76,Rupesh Patric,1979,,0,Rupesh Xavier Patric19 July 1979Kochi,, charcoal sketches,https://en.wikipedia.org/wiki/Rupesh_Patric,Indian,Self taught,"Charcoal Art, Fine Art, Contemporary Art",,,,"Photorealism, Surrealism, Expressionism, Minimalism",,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Alive,India,Other,"Charcoal Art, Fine Art, Contemporary Art"
77,S. Jithesh,1974,,0," (1974-12-30) 30 December 1974 (age 46)Pandalam Thekkekkara, Pathanamthitta district",,,https://en.wikipedia.org/wiki/S._Jithesh, India,"M.A in English Literature , LL.B",,,,,,,,Super-Speedy Cartoonist,"Performing cartoonist, poet",,,,,,Unnymaya,2,,,,,,,,,,,,,Indian,,,"Varayarangu, cartoons",47,Alive,Other/Mixed,Other,"Performing cartoonist, poet"
78,S. Rajam,1919,2010,91,,,,https://en.wikipedia.org/wiki/S._Rajam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,Dead,Other/Mixed,Other,0
79,S.H. Raza,1922,2016,94,"(1922-02-22)22 February 1922Village kakkaiya (Mandla), Central Provinces, British India(now in Madhya Pradesh, India)","23 July 2016(2016-07-23) (aged 94)New Delhi, India",,https://en.wikipedia.org/wiki/S.H._Raza,Indian,"Chitrakala Mahavidyalaya, Nagpur, 
Sir J. J. School of Art, Mumbai",Painter,,,"Padma Vibhushan (2013)  Padma Bhushan (2007) Fellow, Lalit Kala Academy (1981)Padma Shri (1981)Commandeur de la Legion d'honneur (2015)",,,,,,,,,,,,,,,,,therazafoundation.org,,,,,,,,,,,,94,Dead,India,Padma Recipient,Painter
80,Samir Mondal,1952,,0," (1952-03-13) 13 March 1952 (age 69)[1]North 24 Parganas district, West Bengal",, water colourist,https://en.wikipedia.org/wiki/Samir_Mondal, Indian,"Government College of Art & Craft, Kolkata",watercolour painting,,,,,,,,,,,,,,,,,,,,www.samirmondal.com,,,,,,,,,,,,69,Alive,Other/Mixed,Other,watercolour painting
81,Satish Gujral,1925,2020,95,"Satish Gujral(1925-12-25)25 December 1925Jhelum, Punjab, British India","26 March 2020(2020-03-26) (aged 94)New Delhi, India",,https://en.wikipedia.org/wiki/Satish_Gujral,Indian,Mumbai,"Painting, Sculpting, Mural & Writing",Kiran,,Padma Vibhushan 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Dead,India,Padma Recipient,"Painting, Sculpting, Mural & Writing"
82,Sekar Ayyanthole,1954,,0,"1954 (1954)Ayyanthole (Thrissur), Kerala, India",,,https://en.wikipedia.org/wiki/Sekar_Ayyanthole,,,,,,,,,,,Painter,,,,,,,,,,,,www.ayyanthole.com,,,,,,,,,,,,67,Alive,Other/Mixed,Other,Painter
83,Shashikant Dhotre,1982,,0,"1 April 1982Shirapur, Mohol/Solapur, Maharashtra",," drawing, painter, installations",https://en.wikipedia.org/wiki/Shashikant_Dhotre,Indian,,Painter,,,Kohinoor of Maharashtra] (2015)[1] Maharashtrian of the Year (2016)[2],,,,,,,,,,,,,,,,,www.shashikantdhotre.com,,,,,,,,,,,,39,Alive,India,Other,Painter
84,Shilpa Gupta,1976,,0,"1976 (1976)Mumbai, India",,,https://en.wikipedia.org/wiki/Shilpa_Gupta,Indian,Sir Jamsetjee Jeejebhoy School of Art,Sculpture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Alive,India,Other,Sculpture
85,Siddharth Katragadda,1972,,0,"Bangalore, India",,,https://en.wikipedia.org/wiki/Siddharth_Katragadda,US (India),,,,,,,,,Sid,"
Writer
poet
playwright
filmmaker
artist
software engineer
",,2002–present,,"Dark Rooms, The Other Wife, Varanasi (film), B.L.I.N.D (film), Painless (screenplay)","Quarterfinalist (Page Screenwriting Contest - 2016, Screencraft Drama Contest -2017, WeScreenplay Feature Contest-2017, Runner-up San Diego Book Awards(Poetry) 2002 & 2003, Best Foreign Film for Varanasi- Atlantic City Film Festival",,,,,,"University of Texas, Arlington, The Frank Anthony Public School, Bengaluru, St. Joseph's College, Bangalore",,,,,,,,,,,,,49,Alive,Other/Mixed,Other,"
Writer
poet
playwright
filmmaker
artist
software engineer
"
86,Surekha (artist),,,0,,,,https://en.wikipedia.org/wiki/Surekha_(artist),Indian,,Video and photo works,,,,,,,,,,,,,,,,,,,"Visva Bharati University, Ken School of Arts, Bangalore University",http://surekhainfo.com/,,,,,,,,,,,,,Alive,India,Other,Video and photo works
87,Somalal Shah,1905,1994,89,,,,https://en.wikipedia.org/wiki/Somalal_Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Dead,Other/Mixed,Other,
88,Srimati Lal,1959,2019,60,Srimati Lal1959,2019, artist and poet,https://en.wikipedia.org/wiki/Srimati_Lal,,,"Painting, Poetry",Jit Kumar ​(m. 2008)​,"""The Window"", ""Flowers for my Father""",,Naïve art,,,,,,,,,,,,Ananda Lal (brother) Kalidas Nag (maternal grandfather),,,,srimatilal.com,Purushottama Lal Shyamasree Devi,,,Francis Newton Souza (1993-2002),,,,,,,,60,Dead,Other/Mixed,Other,
89,Y.G. Srimati,1926,2007,81,,, painter,https://en.wikipedia.org/wiki/Y.G._Srimati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,Dead,Other/Mixed,Other,
90,Suvigya Sharma,1983,,0," (1983-07-28) 28 July 1983 (age 38)Jaipur, Rajasthan, India",,,https://en.wikipedia.org/wiki/Suvigya_Sharma,Indian,"Maharaja Sawai Mansingh SchoolBharatiya Vidya Bhavan's Vidyashram, JaipurBhawanipur Education Society CollegeSymbiosis International University","Painting, Drawing, Fashion Designing",Charu Sharma[2],4D Siddhivinayak Painting3D Pichwai painting of ShrinathjiRestoration of SAM[1],,,,,,,,,,,,,Abhigya,,,,,www.suvigyasharma.com,,,,,,,,,,,,38,Alive,India,Other,
91,Thukral & Tagra,1976,1979,3,"1976, 1979Jalandhar, New Delhi",,,https://en.wikipedia.org/wiki/Thukral_%26_Tagra,Indian,,,,,,,,,,,,,,,,,,,,,,www.thukralandtagra.com,,,,,,,,,,,,3,Dead,India,Other,
92,Vasudeo S. Gaitonde,1924,2001,77,1924Maharashtra,10 August 2001 (aged 77), painter,https://en.wikipedia.org/wiki/Vasudeo_S._Gaitonde,Indian,Sir J. J. School of Art,Abstract painting,,,Rockefeller Fellowship 1964 Padma Shri 1971,Abstract Expressionism,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Dead,India,Padma Recipient,
93,Vivan Sundaram,1943,,0,,, installation artist,https://en.wikipedia.org/wiki/Vivan_Sundaram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,Alive,Other/Mixed,Other,
94,Yantr,,,0,Real name: unknownDate of birth: unknown,,,https://en.wikipedia.org/wiki/Yantr,,,GraffitiStreet artSocial commentary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,Other/Mixed,Other,
95,Sudarsan Pattnaik,1977,,0," (1977-04-15) 15 April 1977 (age 44)Puri, Odisha, India",,Sand Artist,https://en.wikipedia.org/wiki/Sudarsan_Pattnaik,Indian,,,,,Padma Shri (2014)[1],,,,,Sand artist,,,,,,,,,,,,,,,,,,,,,,,,44,Alive,India,Padma Recipient,
96,Saba Hasan,1962,,0,"1962New Delhi, India",,contemporary artist,https://en.wikipedia.org/wiki/Saba_Hasan,,,,,,,,,,,Artist,,,,,,,,,,,,http://www.sabahasan.com/,,,,,Since 1996,,,,,,,59,Alive,Other/Mixed,Other,
