,ArtistName,YearBorn,YearDied,Age,Born,Died,ArtistOccupation,ArtistWikiLink,Nationality,Education,Known for,Spouse(s),Notable work,Awards,Movement,Native name,Resting place,Pen name,Occupation,Language,Period,Literary movement,Notable works,Notable awards,Spouse,Children,Relatives,Signature,Other names,Alma mater,Website,Parent(s),Style,Honours,Partner(s),Years active,Constituency,Political party,Citizenship,Organization,Patron(s),Genre,Age_Cleaned,Is_Dead,Is_Indian,Award_Group,Occupation_Grouped
14,Anish Kapoor,1954,,0," (1954-03-12) 12 March 1954 (age 67)[1]Bombay, Bombay State, India",,,https://en.wikipedia.org/wiki/Anish_Kapoor,"British, Indian",The Doon SchoolHornsey College of ArtChelsea School of Art and Design,Sculpture,Susanne Spicale (1995–2013)Sophie Walker (2016 or 2017 – present),,Turner Prize 1991Praemium Imperiale 2011 Genesis Prize 2017,,,,,,,,,,,,,,,,,anishkapoor.com,,,,,,,,,,,,67,Alive,Other/Mixed,Other,Sculpture
15,Abdul Kadar Khatri,1961,2019,58,"(1961-04-01)April 1, 1961[citation needed]Bagh, Madhya Pradesh, India","May 12, 2019(2019-05-12) (aged 58)[citation needed]Bagh",Indian Master Craftsman,https://en.wikipedia.org/wiki/Abdul_Kadar_Khatri,India,,Bagh print[1],Rashida Bee (Twice State Award Winner),,"
Seal of Excellence for Handicrafts by UNESCO
National Handicrafts Award
State Award
Surajkund Kala Nidhi Award[4]
",,,"Bagh, Madhya Pradesh, India",,,,,,,,,Mohammed AarifMohammed (International FDC Award Winner)[2][3]Hamid ZilaniMohammed Ali,,,"Abdul Kadir, Qadir",,,Ismail Sulemanji Khatri,,,,,,,,,,,58,Dead,Other/Mixed,Other,Bagh print[1]
16,Aditya Pande,1976,,0,"Lucknow, India",," painter, sculptor, digital artist",https://en.wikipedia.org/wiki/Aditya_Pande,Indian,"National Institute of Design, Ahmedabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Alive,India,Other," painter, sculptor, digital artist"
17,Aman Singh Gulati,2000,,0," (2000-10-11) 11 October 2000 (age 21)Lakhimpur Kheri, Uttar Pradesh, India",,World's First Almond Artist,https://en.wikipedia.org/wiki/Aman_Singh_Gulati,Indian,Schooling - St. Don Bosco College (Lakhimpur kheri)  Graduation - Delhi University (New Delhi),"Miniature Painting , Painting , Drawing.",,"Almond Portrait Series - Soul of Sikhism Volume 1 & 9 , Pulwama , Mahatma Gandhi Largest Drawing , World's Largest Rakhi & Biggest Puzzle Portrait.",Sikh Award's People's Choice Award for Contribution To Art (2018) Guinness World Record for Largest Hand Drawning  (2019) Listed In Top 100 Sikhs Under 30 Around World (2020),,,,,,,,,,,,,,,,,http://www.amansinghgulati.com/,,,,,,,,,,,,21,Alive,India,Other,"Miniature Painting , Painting , Drawing."
18,Anil Kumar Dutta,1933,2006,73,,,,https://en.wikipedia.org/wiki/Anil_Kumar_Dutta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Dead,Other/Mixed,Other,0
19,Anjolie Ela Menon,1940,,0,"17th July, 1940Burnpur, West Bengal, India",, painter,https://en.wikipedia.org/wiki/Anjolie_Ela_Menon,,"Miranda College University of Delhi, École des Beaux-Arts, The Lawrence School, Sir J.J. Institute of Applied Art",,,"Yatra, Looking Out of a Window, Acolyte, Portrait of a Young Actor, The Magician Story","Padma Shri, Kalidas Samman for Visual Arts",,,,,Contemporary painter and muralist,,,,,,,,,,,,,,,,,,,,,,,,81,Alive,Other/Mixed,Padma Recipient, painter
20,Atul Dodiya,1959,,0,"Mumbai, Maharashtra, India",, painter,https://en.wikipedia.org/wiki/Atul_Dodiya,Indian,Bachelor of Fine Arts,,Anju Dodiya,,Government of Maharashtra Gold Medal,,,,,Artist,,,,,,,,,,,Sir J. J. School of ArtÉcole des Beaux-Arts,,,,,,,,,,,,,62,Alive,India,Other, painter
21,B. Prabha,1933,2001,68,"1933 (1933)Maharashtra, India","2001 (aged 67–68)Nagpur, India", painter,https://en.wikipedia.org/wiki/B._Prabha,Indian,Sir J. J. College of Art,Painting,B. Vithal ​(m. 1956⁠–⁠1992)​,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,Dead,India,Other,Painting
22,Badri Narayan,1929,2013,84,"1929Secunderabad, Andhra Pradesh","2013Bangalore, Karnataka", painter,https://en.wikipedia.org/wiki/Badri_Narayan,Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,Dead,India,Other, painter
23,Baiju Parthan,1956,,0,,, painter,https://en.wikipedia.org/wiki/Baiju_Parthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Alive,Other/Mixed,Other, painter
