ArtistName,ArtistWikiPage,ArtistOccupation,YearBorn,YearDied
Prafulla Dahanukar,https://en.wikipedia.org/wiki/Prafulla_Dahanukar, painter,1934,2014
Pranava Prakash,https://en.wikipedia.org/wiki/Pranava_Prakash,, 1979,
Rabin Mondal,https://en.wikipedia.org/wiki/Rabin_Mondal,,1929,2019
Ram Chandra Shukla,https://en.wikipedia.org/wiki/Ram_Chandra_Shukla,,1925,2016
Ramkinkar Baij,https://en.wikipedia.org/wiki/Ramkinkar_Baij, painter and sculptor,1906,1980
Ratnadeep Adivrekar,https://en.wikipedia.org/wiki/Ratnadeep_Adivrekar,, 1974,
Ravi Mandlik,https://en.wikipedia.org/wiki/Ravi_Mandlik, painter, 1960,
Reena Saini Kallat,https://en.wikipedia.org/wiki/Reena_Saini_Kallat,, 1973,
Rupesh Patric,https://en.wikipedia.org/wiki/Rupesh_Patric, charcoal sketches, 1979,
S. Jithesh,https://en.wikipedia.org/wiki/S._Jithesh,, 1974,
S. Rajam,https://en.wikipedia.org/wiki/S._Rajam,,1919,2010
S.H. Raza,https://en.wikipedia.org/wiki/S.H._Raza,,1922,2016
Samir Mondal,https://en.wikipedia.org/wiki/Samir_Mondal, water colourist, 1952,
Satish Gujral,https://en.wikipedia.org/wiki/Satish_Gujral,,1925,2020
Sekar Ayyanthole,https://en.wikipedia.org/wiki/Sekar_Ayyanthole,, 1954,
Shashikant Dhotre,https://en.wikipedia.org/wiki/Shashikant_Dhotre," drawing, painter, installations", 1982,
Shilpa Gupta,https://en.wikipedia.org/wiki/Shilpa_Gupta,, 1976,
Siddharth Katragadda,https://en.wikipedia.org/wiki/Siddharth_Katragadda,, 1972,
Surekha (artist),https://en.wikipedia.org/wiki/Surekha_(artist),,,
Somalal Shah,https://en.wikipedia.org/wiki/Somalal_Shah,,1905,1994
Srimati Lal,https://en.wikipedia.org/wiki/Srimati_Lal, artist and poet,1959,2019
Y.G. Srimati,https://en.wikipedia.org/wiki/Y.G._Srimati, painter,1926,2007
Suvigya Sharma,https://en.wikipedia.org/wiki/Suvigya_Sharma,, 1983,
Thukral & Tagra,https://en.wikipedia.org/wiki/Thukral_%26_Tagra,, 1976,  1979
Vasudeo S. Gaitonde,https://en.wikipedia.org/wiki/Vasudeo_S._Gaitonde, painter,1924,2001
Vivan Sundaram,https://en.wikipedia.org/wiki/Vivan_Sundaram, installation artist, 1943,
Yantr,https://en.wikipedia.org/wiki/Yantr,,,
Sudarsan Pattnaik,https://en.wikipedia.org/wiki/Sudarsan_Pattnaik,Sand Artist, 1977,
Saba Hasan,https://en.wikipedia.org/wiki/Saba_Hasan,contemporary artist, 1962,
